t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
18.720000000000002,0.43057649077014815,1.9531010945662963,1.25,-0.0977070225727545,-0.43797753834666076,1.6339836100359018,0.6750097660868434,0.12557584791259618,-0.183261423714948,0.7035678877595167,-2.996789491975161,0.6606658030254461,0.0,0.6670483251204157,-0.07415891298727893,-0.000273118421924165,-0.7695714546963817,-4.6520209380956565,0.0,-0.03559563806443955,0.9549794037840731,6.717145302828631e-05,0.13397557160325166,0.1382943938700477,0.13812607568884927,0.13382275452659803
18.730000000000004,0.40058358070850353,1.959472580789727,1.25,-0.09106768600787465,-0.4386685448384475,1.6340528304413258,0.6745246418841238,0.1280701928680117,-0.18114845386176556,0.704130506975331,-3.0041164004232503,0.6141447021737245,0.0,0.6666244582166084,-0.06462371290421373,-0.00027244698458796235,-0.6966265239213755,-4.655758903987459,0.0,-0.049136170480623687,0.9519660690457249,6.711587203223068e-05,0.13397149797003555,0.13827671075267264,0.13804727255201169,0.13375754804753576
18.740000000000002,0.3705210836963506,1.9653788760787274,1.25,-0.08442724561017435,-0.43926511662797835,1.634107792092701,0.6740408882837523,0.13052792598191088,-0.17900307575258678,0.7046908828214146,-3.0107147657931006,0.5675919850873471,0.0,0.6660656017108032,-0.05511959160636443,-0.0002717761044835204,-0.6238076126458391,-4.658353817311351,0.0,-0.06259228793875637,0.9487645785727732,6.706000758999187e-05,0.13396774715736534,0.13825850103076082,0.13796832394188135,0.13369304545485286
18.750000000000004,0.3403962756603748,1.9708197217189973,1.25,-0.07778762579679795,-0.4397674358612881,1.6341499023954273,0.6735585055262241,0.1329486596581465,-0.17682592834080607,0.7052490231080041,-3.0165859365561407,0.5210190494326612,0.0,0.6653726124578333,-0.04564842133275827,-0.0002711057844361625,-0.5511323173229924,-4.6598113835987895,0.0,-0.07596146813496074,0.9453768120760323,6.700386174646189e-05,0.13396430914464946,0.1382397631702115,0.13788923971034542,0.13362924811441726
18.760000000000005,0.3102164181644915,1.9757949726378983,1.25,-0.07115074750359492,-0.44017571623276625,1.6341805683038022,0.6730774938205196,0.13533201735222247,-0.1746176544390358,0.7058049356230627,-3.0217314362780856,0.4744372345303192,0.0,0.664546372348104,-0.03621205536484379,-0.00027043602724859117,-0.47861807398006967,-4.660137567628359,0.0,-0.08924122644385357,0.9418046810017212,6.694743590815455e-05,0.13396117392461798,0.1382204957934264,0.13781002969576134,0.1335661572352394
18.770000000000003,0.27998875666766887,1.9803045968082014,1.25,-0.0645185264126625,-0.44049020282620105,1.634201194464081,0.6725978533443243,0.13767763359044385,-0.17237890053195226,0.7063586281322949,-3.0261529619975325,0.4278578187827815,0.0,0.6635877879289562,-0.026812327712723842,-0.0002697668357179994,-0.4062821547264128,-4.659338589635938,0.0,-0.10242911627735829,0.9380501278201575,6.689073157109537e-05,0.13395833150569644,0.1382006976785559,0.13773070372049953,0.1335037738703102
18.780000000000005,0.2497205187981687,1.984348674626305,1.25,-0.057892871189283344,-0.44071117191855436,1.6342131813686527,0.6721195842442459,0.13998515398599815,-0.17011031658961606,0.7069101083791623,-3.0298523825700396,0.3812920171399538,0.0,0.6624977900225568,-0.017451052808440635,-0.00026909821261716926,-0.3341416643422789,-4.6574209214864,0.0,-0.11552272944230779,0.9341151253197455,6.68337477846559e-05,0.13395577191455318,0.13818036775856635,0.13765127158868945,0.13344209891724196
18.790000000000003,0.21941891264446958,1.9879273982653185,1.25,-0.05127568173304423,-0.4408389307469121,1.6342179235261138,0.6716426866360321,0.14225423525199465,-0.1678125558813069,0.7074593840849003,-3.0328317369785265,0.3347509786032189,0.0,0.6612773333401101,-0.00813002520632893,-0.0002684301607623063,-0.262213536948371,-4.654391282808424,0.0,-0.1285196964704971,0.9300016758883972,6.677648341016362e-05,0.13395348519833639,0.13815950512049371,0.1375717430837231,0.1333811331192759
18.800000000000004,0.1890911250633174,1.9910410710033806,1.25,-0.04466884744789399,-0.4408738172391686,1.634216807651962,0.6711671606047871,0.14448454521147608,-0.1654862747899295,0.7080064629485333,-3.0350932326107785,0.2882457837683945,0.0,0.6599273960931469,0.0011489807093273095,-0.000267762682948966,-0.1905145327565238,-4.65025663709397,0.0,-0.14141768689984735,0.9257118107932116,6.671894216894736e-05,0.13395146142664358,0.13813810900474333,0.13749212796570315,0.1333208770665653
18.810000000000002,0.15874432000508729,1.9936901065276225,1.25,-0.03807424553574294,-0.4408161997091176,1.6342112108845324,0.6706930062051873,0.14667576280443623,-0.16313213262702736,0.7085513526468941,-3.0366392435048852,0.24178744240774858,0.0,0.6584489796021131,0.010384211009535304,-0.00026709578191892736,-0.11906123490134926,-4.645024187764014,0.0,-0.1542144095876219,0.9212475894610417,6.66611248201221e-05,0.13394969069430368,0.13811617880372234,0.13741243596956376,0.13326133119664216
18.820000000000004,0.1283856368568787,1.9958750282141549,1.25,-0.03149373931813885,-0.4406664765167249,1.6342024990306656,0.6702202234616955,0.14882757809185826,-0.16075079144845664,0.709094060834641,-3.037472308563417,0.1953868910915623,0.0,0.6568431079013944,0.019573932498548142,-0.00026642946045256355,-0.04787004635320197,-4.63870137420206,0.0,-0.16690761302443624,0.9166110987594697,6.66030283383301e-05,0.1339481631237576,0.13809371406087753,0.13733267680278707,0.13320249579528362
18.830000000000002,0.09802218880360329,1.997596468384481,1.25,-0.02492917659037715,-0.4404250756944698,1.6341920248454742,0.6697488123687749,0.1509396922568034,-0.15834291587076388,0.7096345951442764,-3.0375951297371513,0.14905499084947926,0.0,0.6551108273416244,0.028716432984724698,-0.00026576372135216075,0.023042813087570696,-4.631295867757007,0.0,-0.1794950855912414,0.9118044522743524,6.654465508210139e-05,0.1339468688667387,0.13807071447017466,0.13725286014266377,0.13314437099809304
18.840000000000003,0.0676610612074076,1.9988551675387307,1.25,-0.0183823880122643,-0.4400924545407333,1.6341811263504,0.6692787728911027,0.15301181760256918,-0.1559091728883131,0.7101729631861664,-3.0370105701791594,0.10280252487200493,0.0,0.6532532061895696,0.03781002154403519,-0.0002650985673509215,0.09366130971493883,-4.622815567716887,0.0,-0.1919746558129709,0.9068297895763386,6.648600881162259e-05,0.13394579810673252,0.13804717987478457,0.13717299563429478,0.13308695679135324
18.850000000000005,0.03730931000565272,1.9996519735661258,1.25,-0.01185518553954316,-0.43966909918131475,1.6341711251935773,0.6688101049637811,0.1550436775479507,-0.15345023169120411,0.7107091725485603,-3.0357216523700745,0.056640196252331534,0.0,0.651271334225365,0.04685302877625147,-0.0002644340011759283,0.1639695987601949,-4.6132685972550265,0.0,-0.20434419261260994,0.90168927550167,6.642708691370625e-05,0.13394494106162141,0.13802311026558584,0.13709309288884397,0.13303025301262866
18.860000000000003,0.006973960127812049,1.9999878409330731,1.25,-0.005349360899823715,-0.4391555241002378,1.6341633250563172,0.6683428084925492,0.15703500661962325,-0.1509667634840288,0.7112432307976111,-3.033731556215355,0.0105786257688749,0.0,0.6491663223373174,0.05584380705406859,-0.0002637700256126474,0.23395202715347202,-4.602663299350143,0.0,-0.2166016055665132,0.8963850994279889,6.636788813518812e-05,0.13394428798544972,0.13799850578055275,0.13701316148088083,0.13297425935227059
18.870000000000005,-0.023337996068514395,1.999863829849299,1.25,0.0011333158833874998,-0.43855227164109584,1.6341590101093175,0.6678768833539936,0.15898555044167947,-0.1484594413055037,0.711775145477397,-3.0310436171153436,-0.03537165029134213,0.0,0.6469393021140347,0.06478073076481125,-0.00026310664341322454,0.30359313620397776,-4.591008232681879,0.0,-0.2287448451334273,0.8909194745377054,6.63084162445815e-05,0.13394382917039308,0.13797336670382004,0.13693321094599079,0.13291897535477418
18.880000000000003,-0.05361960034208807,1.9992811054124318,1.25,0.007591097915153331,-0.43785991148025966,1.63415944352197,0.6674123293957579,0.16089506572234008,-0.14592893984902924,0.7123049241099424,-3.0276613240089514,-0.08120018226804962,0.0,0.6445914254346489,0.0736621965448227,-0.00026244385728775577,0.3728776641987316,-4.578312167503294,0.0,-0.24077190283629535,0.8852946370897757,6.624867092200337e-05,0.13394355494933757,0.13794769346392494,0.13685325077924648,0.13286440041948736
18.890000000000004,-0.0838639300929047,1.9982409367314473,1.25,0.01402226279896059,-0.4370790400733405,1.6341658660278886,0.6669491464367504,0.1627633202378762,-0.14337593528420683,0.7128325741952396,-3.0235883173917713,-0.12689660922182644,0.0,0.6421238640573088,0.08248662350660677,-0.00026178166999478447,0.441790548920207,-4.564584081491811,0.0,-0.25268081147608035,0.8795128456975373,6.618865329849344e-05,0.13394345569767366,0.1379214866329792,0.1367732904327763,0.13281053380207813
18.900000000000002,-0.11406409986709384,1.9967446960293922,1.25,0.020425113949056647,-0.43621028007636636,1.6341794945495505,0.6664873342673533,0.1645900928137641,-0.14080110507936272,0.7133581032112721,-3.0188283873094375,-0.1724506609865625,0.0,0.6395378092051273,0.09125245345877345,-0.0002611200842217859,0.5103169300827333,-4.549833155580069,0.0,-0.26446964532872985,0.8735763805958557,6.612836507963182e-05,0.13394352183544528,0.13789474692540898,0.13669333931371644,0.13275737461569423
18.910000000000004,-0.1442132628416443,1.9947938577257969,1.25,0.02679798184265626,-0.4352542797431785,1.6342015208846494,0.6660268926496289,0.16637517330310367,-0.1382051278251148,0.7138815186140383,-3.013385471327032,-0.21785216018015893,0.0,0.6368344711507342,0.09995815111852388,-0.00026045910269319184,0.5784421516878773,-4.534068769768193,0.0,-0.27613652031980296,0.8674875429047019,6.606780265094869e-05,0.13394374382974703,0.13786747519634707,0.13661340678249514,0.1327049218318915
18.920000000000005,-0.17430461228872018,1.9923899974992043,1.25,0.033139225209670664,-0.43421171230060984,1.6342331104565149,0.665567821317526,0.1681183625623315,-0.13558868305902314,0.7144028278375738,-3.0072636524753618,-0.26309102417328706,0.0,0.6340150787987312,0.10860220431686748,-0.0002597987281687669,0.6461517642989557,-4.517300498918909,0.0,-0.28767959418775635,0.8612486539067279,6.600696830366681e-05,0.13394411219607588,0.13783967244101855,0.13653350215018636,0.13265317428254447
18.930000000000003,-0.20433138301930512,1.989534791330229,1.25,0.03944723215787388,-0.4330832753030424,1.634275401130663,0.6651101199770851,0.16981947242425452,-0.1329524510913652,0.7149220382939762,-3.0004671571749015,-0.3081572670159895,0.0,0.6310808792669791,0.11718312419665844,-0.0002591389633271185,0.7134315272347678,-4.499538108536985,0.0,-0.299097066616838,0.8548620543214022,6.594586757224796e-05,0.1339446175004229,0.13781133979324872,0.13645363467672517,0.13260213066103138
